Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
All,2019,"7,631,619.86","5,651,597.95","560,000.00","1,980,004.79","2,918,216.96","2,222,309.10","744,980.42","695,907.86","501,091.31",0.98,"354,197.22","-602,902.97","351,669.75","102,964.00",36.41,10.2,33.9,17.17,23.85,2.85,11.44,1.3,0.18,35.87,0.43,0.39,944.72,17.41,20.96,3.52,103.67,862.01,3.85,2019
Anan,Q1/2015,"18,467,248.00","11,480,597.00","333,300.00","6,986,651.00","1,393,514.00","1,232,988.00","176,035.00","160,526.00","73,562.00",0.02,"-1,129,093.00","-602,498.00","1,203,328.00","-528,263.00",19.49,11.49,41.02,5.28,11.52,1.64,2.61,3.14,0.41,19.87,0.65,0.56,648.54,68.06,5.36,7.4,49.32,604.58,2.64,2015Q1
Anan,Q2/2015,"19,949,414.00","13,117,471.00","333,300.00","6,831,943.00","1,541,190.00","1,407,344.00","150,219.00","133,846.00","71,959.00",0.02,"-1,878,792.00","-1,128,214.00","2,312,686.00","-694,320.00",15.69,8.29,42.44,4.67,8.68,1.92,1.91,3.64,0.42,18.44,0.51,0.44,822,24.04,15.18,5.45,66.92,770.26,2.92,2015Q2
Anan,Q3/2015,"20,809,443.00","12,963,996.00","333,300.00","7,845,447.00","2,665,072.00","2,369,622.00","312,907.00","295,450.00","161,025.00",0.05,"-981,904.00","-1,820,885.00","2,555,831.00","-246,958.00",13.51,7.78,38.2,6.04,11.09,1.65,5.43,3.94,0.54,19.56,0.53,0.48,762.34,105.39,3.46,5.32,68.55,697.25,2.65,2015Q3
Anan,Q4/2015,"20,470,531.49","11,743,358.59","333,300.00","8,727,172.90","5,425,576.82","4,214,304.56","1,231,695.67","1,211,272.26","900,096.44",0.27,"1,151,601.38","-2,197,286.98","1,141,815.96","96,130.36",15.43,9.59,37.38,16.59,22.33,1.35,17.92,2.86,0.48,21.89,0.59,0.59,613.88,143.68,2.54,6.18,59.09,557.33,2.35,2015Q4
Anan,Q1/2016,"21,854,647.00","12,996,960.00","333,300.00","8,857,687.00","2,595,442.00","2,330,628.00","284,435.00","264,814.00","148,684.00",0.04,"235,282.00","-843,803.00","870,109.00","261,588.00",16.18,9.45,36.87,5.73,10.2,1.47,3.86,2.52,0.43,23.96,0.61,0.62,591.57,196.81,1.85,7.96,45.84,547.58,2.47,2016Q1
Anan,Q2/2016,"22,716,928.00","12,903,848.00","333,300.00","9,813,080.00","2,889,090.00","2,519,054.00","389,585.00","370,036.00","209,774.00",0.05,"-180,812.00","-1,172,234.00","1,536,395.00","183,349.00",17.06,10.04,35.14,7.26,12.81,1.31,4.92,1.68,0.27,24.92,0.64,0.65,565.76,164.71,2.22,8.63,42.31,525.66,2.31,2016Q2
Anan,Q3/2016,"23,514,732.00","13,618,552.00","333,300.00","9,896,180.00","2,978,603.00","2,541,827.00","463,843.00","436,776.00","249,513.00",0.06,"619,042.00","-2,699,891.00","1,598,515.00","-482,334.00",17,10.3,34.54,8.38,14.66,1.38,4.47,1.56,0.2,18.68,0.63,0.65,565.71,116.85,3.12,7.32,49.87,518.96,2.38,2016Q3
Anan,Q4/2016,"25,365,908.48","14,611,567.27","333,300.00","10,754,341.21","3,882,056.40","2,811,109.32","1,099,428.42","1,070,947.08","893,470.76",0.26,"2,074,455.98","-4,646,334.21","2,181,229.40","-390,648.82",15.41,9.35,23.72,23.02,27.59,1.36,11.47,1.96,0.32,17.4,0.54,0.62,584.05,46.19,7.9,6.28,58.16,533.78,2.36,2016Q4
Anan,Q1/2017,"27,311,018.00","15,460,813.00","333,300.00","11,850,205.00","2,314,330.00","2,066,537.00","277,315.00","247,793.00","140,348.00",0.03,"-1,385,176.00","649,008.00","1,327,895.00","591,727.00",14.42,8.65,33.08,6.06,10.71,1.3,2.84,1.82,0.32,17.64,0.49,0.59,622.86,57.61,6.34,6.16,59.27,569.92,2.30,2017Q1
